date,frequency,keyword
2014-01-24,0,Hill
2014-01-25,1,Hill
2014-01-26,1,Hill
2014-01-27,0,Hill
2014-01-28,0,Hill
2014-01-29,1,Hill
2014-01-30,0,Hill
2014-01-31,0,Hill
2014-01-01,0,Park
2014-01-02,0,Park
2014-01-03,1,Park
2014-01-04,0,Park
2014-01-05,0,Park
2014-01-06,0,Park
2014-01-07,1,Park
2014-01-08,0,Park
2014-01-09,0,Park
2014-01-10,0,Park
2014-01-11,1,Park
2014-01-12,0,Park
2014-01-13,1,Park
2014-01-14,0,Park
2014-01-15,1,Park
2014-01-16,2,Park
2014-01-17,0,Park
2014-01-18,0,Park
2014-01-19,1,Park
2014-01-20,2,Park
2014-01-21,0,Park
2014-01-22,0,Park
2014-01-23,0,Park
2014-01-24,0,Park
2014-01-25,0,Park
2014-01-26,0,Park
2014-01-27,0,Park
2014-01-28,0,Park
2014-01-29,0,Park
2014-01-30,0,Park
2014-01-31,0,Park
2014-01-01,0,East
2014-01-02,0,East
2014-01-03,1,East
2014-01-04,0,East
2014-01-05,0,East
2014-01-06,2,East
2014-01-07,0,East
2014-01-08,0,East
2014-01-09,0,East
2014-01-10,0,East
2014-01-11,0,East
2014-01-12,0,East
2014-01-13,0,East
2014-01-14,0,East
2014-01-15,0,East
2014-01-16,0,East
2014-01-17,0,East
2014-01-18,1,East
2014-01-19,0,East
2014-01-20,1,East
2014-01-21,0,East
2014-01-22,0,East
2014-01-23,0,East
2014-01-24,0,East
2014-01-25,0,East
2014-01-26,0,East
2014-01-27,0,East
2014-01-28,0,East
2014-01-29,0,East
2014-01-30,1,East
2014-01-31,0,East
2014-01-01,1,South
2014-01-02,0,South
2014-01-03,1,South
2014-01-04,0,South
2014-01-05,1,South
2014-01-06,0,South
